indic_de;geo;TIME_PERIOD;OBS_VALUE
0-14;DE;2020;13.7
15-24;DE;2020;10.3
24-49;DE;2020;31.3
50-64;DE;2020;23.0
65-79;DE;2020;14.9
>=80;DE;2020;6.8
0-14;ES;2020;14.5
15-24;ES;2020;10.0
24-49;ES;2020;34.8
50-64;ES;2020;21.0
65-79;ES;2020;13.6
>=80;ES;2020;6.0
0-14;FR;2020;17.9
15-24;FR;2020;11.8
24-49;FR;2020;30.7
50-64;FR;2020;19.2
65-79;FR;2020;14.3
>=80;FR;2020;6.2
0-14;IT;2020;13.0
15-24;IT;2020;9.8
24-49;IT;2020;31.7
50-64;IT;2020;22.3
65-79;IT;2020;15.8
>=80;IT;2020;7.4
0-14;UA;2020;15.3
15-24;UA;2020;9.5
24-49;UA;2020;37.6
50-64;UA;2020;20.5
65-79;UA;2020;12.6
>=80;UA;2020;4.5
0-14;UK;2020;17.9
15-24;UK;2020;11.7
24-49;UK;2020;32.5
50-64;UK;2020;19.3
65-79;UK;2020;1.,5
>=80;UK;2020;5.1
